inn;avg_staff_qty
6164308645;3
5507262154;1
3666121081;1
5610221507;0
6453136177;3
2203005128;2
7804454624;5
5262087752;11
7202211938;2
3827052868;5
0323398195;0
4813006077;0
1658218569;1
3023022172;4
3327108801;3
5209005786;41
6714048658;7
4345230958;752
0546025630;14
3250066722;8
0250017085;1
0274941360;0
6311182322;1
0543015497;10
1632016712;7
1661052183;3
0267021700;1
5404072472;0
1651008837;1
5402023832;8
9110018960;5
1435316918;1
2309151016;1
2465151084;3
3665035658;12
3448057380;2
0268085230;1
5902845936;1
2313022180;5
7820332246;3
4345494679;0
4706038148;3
7805704370;1
2259007367;4
0245021713;64
7736318701;1
3661069840;0
6516008357;61
7743566832;5
7713409800;0
6670261947;34
3801123120;2
7814620655;1
7838511020;1
7451273860;1
7811620960;0
5401965943;0
7604311805;12
7451412546;1
7704393199;10
2626037427;8
0902030170;6
9717054951;1
9201519699;4
6153004250;22
6143096580;1
7456043606;1
4312155550;1
7726379920;4
7740000037;1279
7721826597;0
5611053372;0
5254488599;5
2537105636;6
5907997844;0
2635240680;2
2130180950;3
4029055698;3
7814250683;3
5919024279;2
9201521521;1
9717079120;0
0278948285;1
6163210975;3
7722466019;4
7704435360;2
5260445184;5
7801334640;1
7731456803;3
7725725215;1
3019009122;1
1837014890;46
0273917893;1
3662258582;3
1658101602;4
1901104705;10
1822005814;1
4703150286;1
6685134660;1
2724193583;1
0275048769;3
7810368490;0
5102000560;0
5249119170;12
6025030262;24
2130209663;1
0250017568;1
6165219148;1
7816475210;1
2311152360;38
7842147310;2
2311153821;24
7839097130;2
4205365225;1
5753069755;1
4415007480;28
7805599904;5
5406706950;28
2922009081;2
2723200630;0
5034051683;1
3102204383;0
4218027199;512
2720045591;4
2311127500;18
7814292323;0
7734366883;3
7810435242;3
6727029469;0
7725364960;0
7726604661;0
6613008546;1
2211005643;14
0274941313;1
6449092093;2
2540191441;1
4501213173;2
3444216984;73
2308154060;0
2721109625;2
6714033595;1
2510003612;2
7743119087;0
4705077384;1
7734374980;1
6150099046;1
5190069134;0
5012037565;8
4009007417;1
2348029080;80
7806346381;2
3426013100;18
6829110341;0
5190029702;1
6311175251;1
3661083386;2
5405970246;2
8904085732;0
6449087640;2
6315019782;7
0253017439;0
6102070015;0
6601011985;1
9721066491;1
7203333745;0
4250006429;1
3808220972;0
7447277157;0
7716870664;0
0264073146;2
7801318493;4
6312146422;4
6670311997;0
7734663364;1
2635224046;1
7329023068;22
1658195657;0
9717009236;1
3662219738;0
7901548476;0
5190078033;0
5246050071;1
2315177407;8
5835092240;0
0278932246;2
7702396050;0
2540217153;1
4205320440;0
2457071364;1
7805532297;0
2130205115;3
4027134633;0
8904001740;23
5403022302;1
6672268419;3
7802323697;9
0274917374;0
2450031669;1
7743179921;3
7719627410;4
4345241967;0
7816596630;1
7813599224;1
5501174007;6
3702156438;4
1658182873;2
6504035853;35
1650116237;0
0550000043;1
5609184000;1
2465295015;2
5303003384;13
9731029192;3
5917998149;0
0816037566;0
8604069345;3
3906374089;1
3525432479;1
7842165310;1
2207010538;1
5905051963;1
7751520581;2
