inn;financial_year;str_code;str_value
6453150157;2019;3600;93
6453150157;2018;3600;-
6453160155;2019;3600;-
6453160155;2018;3600;-
6454087691;2019;3600;1418
6454087691;2018;3600;1390
6454100350;2019;3600;7969
6454100350;2018;3600;7235
6454103343;2019;3600;13150
6454103343;2018;3600;13239
6455006215;2019;3600;6175
6455006215;2018;3600;5891
6501172361;2019;3600;-
6501172361;2018;3600;-
6501200869;2019;3600;0
6501200869;2018;3600;-
6501242347;2019;3600;-
6501242347;2018;3600;-
6501244552;2019;3600;-
6501244552;2018;3600;-
6501275590;2019;3600;-
6501275590;2018;3600;-
6501286680;2019;3600;944
6501286680;2018;3600;736
6501299270;2019;3600;6647
6501299270;2018;3600;1188
6503013631;2019;3600;-
6503013631;2018;3600;-
6508008794;2019;3600;8080
6508008794;2018;3600;5768
6509018509;2019;3600;558
6509018509;2018;3600;(3938)
6509022304;2019;3600;2417
6509022304;2018;3600;5464
6509022858;2019;3600;-
6509022858;2018;3600;-
6516008357;2019;3600;-
6516008357;2018;3600;-
6517006948;2019;3600;-
6517006948;2018;3600;-
6517008825;2019;3600;0
6517008825;2018;3600;0
6611008614;2019;3600;2881
6611008614;2018;3600;4570
6612051838;2019;3600;-
6612051838;2018;3600;-
6613006267;2019;3600;0
6613006267;2018;3600;0
6613008289;2019;3600;0
6613008289;2018;3600;-
6617022118;2019;3600;8846
6617022118;2018;3600;1329
6619009779;2019;3600;3053
6619009779;2018;3600;1696
6620014445;2019;3600;0
6620014445;2018;3600;0
6621010267;2019;3600;2170
6621010267;2018;3600;1805
6621010884;2019;3600;-
6621010884;2018;3600;-
6623036447;2019;3600;-
6623036447;2018;3600;-
6623037747;2019;3600;0
6623037747;2018;3600;0
6623093653;2019;3600;232
6623093653;2018;3600;220
6623111077;2019;3600;-
6623111077;2018;3600;-
6623112909;2019;3600;-
6623112909;2018;3600;-
6623127380;2019;3600;-
6623127380;2018;3600;-
6623129701;2019;3600;0
6623129701;2018;3600;-
6628014119;2019;3600;0
6628014119;2018;3600;-
6628016211;2019;3600;-
6628016211;2018;3600;-
6629009591;2019;3600;6091
6629009591;2018;3600;5385
6633023045;2019;3600;(5785)
6633023045;2018;3600;2019
6633024867;2019;3600;31055
6633024867;2018;3600;30519
6641000718;2019;3600;-
6641000718;2018;3600;-
6646014619;2019;3600;0
6646014619;2018;3600;-
6654008930;2019;3600;-
6654008930;2018;3600;-
6655004663;2019;3600;2889
6655004663;2018;3600;3376
6658354754;2019;3600;-
6658354754;2018;3600;-
6658364512;2019;3600;3823
6658364512;2018;3600;3314
6658480283;2019;3600;827
6658480283;2018;3600;756
6658503011;2019;3600;2234
6658503011;2018;3600;418
6659008690;2019;3600;28282
6659008690;2018;3600;20994
6659122259;2019;3600;10701
6659122259;2018;3600;6531
6659144862;2019;3600;-
6659144862;2018;3600;-
6660019753;2019;3600;-
6660019753;2018;3600;-
6661001886;2019;3600;5057
6661001886;2018;3600;6099
6670280509;2019;3600;7491
6670280509;2018;3600;6418
6670368369;2019;3600;5708
6670368369;2018;3600;6984
6670390036;2019;3600;8712
6670390036;2018;3600;6136
6670448046;2019;3600;561
6670448046;2018;3600;654
6670463301;2019;3600;-
6670463301;2018;3600;-
6670484527;2019;3600;-
6670484527;2018;3600;-
6671166767;2019;3600;1701
6671166767;2018;3600;1008
6671994048;2019;3600;32768
6671994048;2018;3600;23533
6672132351;2019;3600;16706
6672132351;2018;3600;12865
6673157567;2019;3600;-
6673157567;2018;3600;-
6673214416;2019;3600;-
6673214416;2018;3600;-
6673250421;2019;3600;-
6673250421;2018;3600;-
6678031286;2019;3600;(2283)
6678031286;2018;3600;(373)
6678064757;2019;3600;-
6678064757;2018;3600;-
6678104030;2019;3600;10
6678104030;2018;3600;0
6679046052;2019;3600;28995
6679046052;2018;3600;17530
6679996030;2019;3600;32
6679996030;2018;3600;158
6686012745;2019;3600;-
6686012745;2018;3600;-
6703004289;2019;3600;-
6703004289;2018;3600;-
6713012320;2019;3600;-
6713012320;2018;3600;-
6714031622;2019;3600;10860
6714031622;2018;3600;11243
6717004419;2019;3600;1448
6717004419;2018;3600;1383
6722030277;2019;3600;546
6722030277;2018;3600;-
6722042459;2019;3600;299
6722042459;2018;3600;143
6724007971;2019;3600;-
6724007971;2018;3600;-
6725012558;2019;3600;16254
6725012558;2018;3600;15721
6726010916;2019;3600;0
6726010916;2018;3600;-
6726013201;2019;3600;877
6726013201;2018;3600;614
6726017929;2019;3600;295
6726017929;2018;3600;280
6730033708;2019;3600;16
6730033708;2018;3600;16
6730049803;2019;3600;-
6730049803;2018;3600;-
6732108973;2019;3600;72480
6732108973;2018;3600;61307
6732112232;2019;3600;6865
6732112232;2018;3600;3894
6802004321;2019;3600;971
6802004321;2018;3600;956
6803002430;2019;3600;0
6803002430;2018;3600;0
6803627664;2019;3600;-
6803627664;2018;3600;-
6810007291;2019;3600;-
6810007291;2018;3600;-
6810008023;2019;3600;10014
6810008023;2018;3600;10952
6820036608;2019;3600;-
6820036608;2018;3600;-
6821170490;2019;3600;47834
6821170490;2018;3600;41024
6827030901;2019;3600;-
6827030901;2018;3600;-
6829043350;2019;3600;751
6829043350;2018;3600;203
6829083610;2019;3600;0
6829083610;2018;3600;-
6829126609;2019;3600;-
6829126609;2018;3600;-
6901028370;2019;3600;0
6901028370;2018;3600;-
6901053094;2019;3600;-
6901053094;2018;3600;-
6905009096;2019;3600;52571
6905009096;2018;3600;56545
6907007584;2019;3600;-
6907007584;2018;3600;-
6909003602;2019;3600;54580
6909003602;2018;3600;47188
6911003014;2019;3600;-
6911003014;2018;3600;-
6920007777;2019;3600;3170
6920007777;2018;3600;2825
6922004517;2019;3600;-
6922004517;2018;3600;-
6932005580;2019;3600;-
6932005580;2018;3600;-
6939005283;2019;3600;10
6939005283;2018;3600;-
6950011516;2019;3600;-
6950011516;2018;3600;-
6950059677;2019;3600;-
6950059677;2018;3600;-
6950198575;2019;3600;-
6950198575;2018;3600;-
6952000816;2019;3600;-
6952000816;2018;3600;-
7002011240;2019;3600;278
7002011240;2018;3600;807
7017227436;2019;3600;-
7017227436;2018;3600;-
7017259981;2019;3600;0
7017259981;2018;3600;-
7017282853;2019;3600;-
7017282853;2018;3600;-
7017287530;2019;3600;-
7017287530;2018;3600;-
7017313420;2019;3600;-
7017313420;2018;3600;-
7017313854;2019;3600;-
7017313854;2018;3600;-
7022014874;2019;3600;2641
7022014874;2018;3600;1726
7022019777;2019;3600;560
7022019777;2018;3600;(1113)
7103011078;2019;3600;8906
7103011078;2018;3600;7823
7103516520;2019;3600;-
7103516520;2018;3600;-
7106014366;2019;3600;135671
7106014366;2018;3600;123717
7106514390;2019;3600;2451
7106514390;2018;3600;1987
7107094124;2019;3600;-
7107094124;2018;3600;-
7107096280;2019;3600;8518
7107096280;2018;3600;7257
7107111073;2019;3600;-
7107111073;2018;3600;-
7107113715;2019;3600;-
7107113715;2018;3600;-
7112027388;2019;3600;-
7112027388;2018;3600;-
7116145840;2019;3600;26514
7116145840;2018;3600;26797
7116511173;2019;3600;-
7116511173;2018;3600;-
7122006490;2019;3600;1774
7122006490;2018;3600;1006
7202005893;2019;3600;-
7202005893;2018;3600;-
7202126376;2019;3600;-
7202126376;2018;3600;-
7202214135;2019;3600;-
7202214135;2018;3600;-
