id_complaint;id_procedure;status;processing_result
299581;6303311;Рассмотрена;Признана обоснованной
293774;6067025;Рассмотрена;Признана обоснованной
314784;6830257;Рассмотрена;Признана обоснованной (частично)
308753;6830257;Рассмотрена;Признана обоснованной
296341;6249813;Рассмотрена;Признана необоснованной
310814;6667339;Отказано в рассмотрении;""
260944;4772414;Рассмотрена;Признана необоснованной
259639;4772414;Рассмотрена;Признана обоснованной
312984;6641138;Рассмотрена;Признана обоснованной
295077;6641138;Рассмотрена;Признана обоснованной (частично)
288515;6641138;Рассмотрена;Признана обоснованной
276113;5496717;Рассмотрена;Признана необоснованной
276112;5496717;Рассмотрена;Признана необоснованной
276109;5496717;Рассмотрена;Признана необоснованной
276106;5496717;Рассмотрена;Признана необоснованной
276104;5496717;Рассмотрена;Признана необоснованной
274753;5496717;Рассмотрена;Признана обоснованной (частично)
274752;5496717;Рассмотрена;Признана обоснованной
276099;5496717;Отозвана;""
276098;5496717;Отозвана;""
276097;5496717;Отозвана;""
276096;5496717;Отозвана;""
276095;5496717;Отозвана;""
274751;5496717;Рассмотрена;Признана необоснованной
265523;5313798;Рассмотрена;Признана обоснованной
273646;5274318;Рассмотрена;Признана обоснованной (частично)
260581;4893516;Рассмотрена;Признана необоснованной
262493;4950493;Рассмотрена;Признана необоснованной
269350;5191555;Рассмотрена;Признана необоснованной
293671;6110393;Рассмотрена;Признана необоснованной
302079;6465464;Рассмотрена;Признана обоснованной (частично)
307336;6631087;Отозвана;""
307335;6631087;Отозвана;""
305942;6631087;Рассмотрена;Признана необоснованной
241098;4029197;Рассмотрена;Признана необоснованной
288592;5934617;Рассмотрена;Признана необоснованной
268657;5175061;Рассмотрена;Признана необоснованной
260902;5015428;Рассмотрена;Признана необоснованной
260901;5015428;Рассмотрена;Признана необоснованной
240554;4025430;Рассмотрена;Признана обоснованной (частично)
240553;4025430;Рассмотрена;Признана обоснованной (частично)
264302;4832938;Рассмотрена;Признана обоснованной
242634;4064805;Рассмотрена;Признана обоснованной (частично)
251935;4477269;Рассмотрена;Признана необоснованной
251153;4477269;Рассмотрена;Признана обоснованной (частично)
243518;4103833;Рассмотрена;Признана обоснованной
242611;4103833;Рассмотрена;Признана обоснованной
261320;4675977;Рассмотрена;Признана обоснованной
271128;5133287;Рассмотрена;Признана необоснованной
249437;4433773;Отказано в рассмотрении;""
245767;4268218;Рассмотрена;Признана необоснованной
290386;6023477;Рассмотрена;Признана обоснованной (частично)
273455;5193736;Отозвана;""
266360;5083754;Рассмотрена;Признана обоснованной (частично)
292720;6083017;Отказано в рассмотрении;""
292717;6083017;Рассмотрена;Признана обоснованной
268632;5206137;Рассмотрена;Признана необоснованной
264775;5020370;Отозвана;""
272380;5312734;Рассмотрена;Признана необоснованной
271506;5187003;Отказано в рассмотрении;""
273118;5328521;Отозвана;""
281725;5687461;Рассмотрена;Признана обоснованной (частично)
281721;5687461;Рассмотрена;Признана необоснованной
271321;5687461;Рассмотрена;Признана необоснованной
267981;5138184;Рассмотрена;Признана обоснованной (частично)
262321;5138184;Рассмотрена;Признана обоснованной
295040;6137801;Рассмотрена;Признана обоснованной
248660;4353847;Рассмотрена;Признана необоснованной
278945;5581622;Рассмотрена;Признана необоснованной
249242;4471000;Рассмотрена;Признана необоснованной
287090;5881823;Рассмотрена;Признана необоснованной
284371;5778866;Рассмотрена;Признана необоснованной
284370;5778866;Рассмотрена;Признана необоснованной
284369;5778866;Рассмотрена;Признана необоснованной
284368;5778866;Рассмотрена;Признана необоснованной
284367;5778866;Рассмотрена;Признана необоснованной
289454;5843708;Отозвана;""
309404;6711538;Рассмотрена;Признана обоснованной (частично)
273647;5244163;Рассмотрена;Признана обоснованной (частично)
260666;5133806;Рассмотрена;Признана обоснованной
243895;4160274;Рассмотрена;Признана необоснованной
286867;5871810;Рассмотрена;Признана необоснованной
266277;4904401;Рассмотрена;Признана необоснованной
260772;4823224;Рассмотрена;Признана необоснованной
288909;5769808;Рассмотрена;Признана необоснованной
241376;3937454;Рассмотрена;Признана необоснованной
238860;4043859;Рассмотрена;Признана необоснованной
253036;4413445;Рассмотрена;Признана обоснованной
267083;5076324;Отозвана;""
234321;3587550;Рассмотрена;Признана обоснованной
246729;4250671;Рассмотрена;Признана обоснованной (частично)
308784;6625584;Рассмотрена;Признана обоснованной
308783;6625584;Рассмотрена;Признана обоснованной
308748;6625584;Рассмотрена;Признана обоснованной
308747;6625584;Рассмотрена;Признана обоснованной
310119;6625584;Отозвана;""
307180;6625584;Рассмотрена;Признана обоснованной (частично)
300968;6625584;Рассмотрена;Признана обоснованной
284213;6125904;Рассмотрена;Признана обоснованной
274633;6125904;Рассмотрена;Признана обоснованной
236287;3770208;Рассмотрена;Признана обоснованной (частично)
239982;4543584;Рассмотрена;Признана обоснованной
284136;5630800;Рассмотрена;Признана необоснованной
253565;4569787;Рассмотрена;Признана обоснованной (частично)
249414;4392083;Рассмотрена;Признана необоснованной
249413;4392083;Рассмотрена;Признана необоснованной
239025;4263685;Рассмотрена;Признана обоснованной
240922;4263685;Отозвана;""
250821;4531885;Рассмотрена;Признана необоснованной
309171;6507036;Отозвана;""
279558;5493065;Рассмотрена;Признана необоснованной
245562;4509716;Рассмотрена;Признана обоснованной
238437;3966229;Рассмотрена;Признана необоснованной
257807;4666794;Рассмотрена;Признана необоснованной
257449;4666794;Рассмотрена;Признана необоснованной
256155;4666794;Рассмотрена;Признана необоснованной
249264;4666794;Рассмотрена;Признана необоснованной
301528;6727989;Рассмотрена;Признана обоснованной
252254;4496838;Рассмотрена;Признана необоснованной
249920;4496838;Рассмотрена;Признана необоснованной
249919;4496838;Рассмотрена;Признана необоснованной
247212;4354893;Рассмотрена;Признана обоснованной
259335;4923111;Отказано в рассмотрении;""
247275;4275504;Рассмотрена;Признана обоснованной (частично)
246859;4275504;Рассмотрена;Признана необоснованной
246192;4344133;Рассмотрена;Признана необоснованной
297209;6252640;Рассмотрена;Признана необоснованной
253962;4550795;Рассмотрена;Признана обоснованной
245363;4172363;Отказано в рассмотрении;""
308555;6717643;Рассмотрена;Признана обоснованной
255180;4469632;Рассмотрена;Признана необоснованной
281807;5656072;Рассмотрена;Признана обоснованной
296372;6232378;Отозвана;""
291210;6232378;Рассмотрена;Признана необоснованной
285626;6232378;Рассмотрена;Признана обоснованной
300486;6260573;Рассмотрена;Признана обоснованной (частично)
297714;6260573;Рассмотрена;Признана обоснованной
297410;6260573;Рассмотрена;Признана необоснованной
248243;4381691;Рассмотрена;Признана обоснованной
307671;6463919;Рассмотрена;Признана необоснованной
303914;6495452;Рассмотрена;Признана обоснованной
303385;6495452;Рассмотрена;Признана обоснованной
274467;5261466;Рассмотрена;Признана обоснованной
280835;5134524;Рассмотрена;Признана обоснованной
276602;5134524;Рассмотрена;Признана обоснованной
270606;5134524;Рассмотрена;Признана обоснованной
267897;5134524;Рассмотрена;Признана обоснованной (частично)
240268;4380400;Рассмотрена;Признана обоснованной (частично)
304157;6437801;Рассмотрена;Признана обоснованной (частично)
304156;6437801;Рассмотрена;Признана обоснованной (частично)
304155;6437801;Рассмотрена;Признана обоснованной (частично)
237368;3948333;Рассмотрена;Признана обоснованной
276585;5584410;Рассмотрена;Признана необоснованной
267190;5584410;Рассмотрена;Признана обоснованной (частично)
267710;5059223;Рассмотрена;Признана необоснованной
257133;5059223;Рассмотрена;Признана необоснованной
284971;5730921;Рассмотрена;Признана обоснованной
