inn;eshn_agricultural_tax;usn_simlified_tax_system;envd_imputed_tax;srp_product_sharing_agreement_tax
6679120267;0;1;0;0
7728778127;0;1;0;0
0546022936;0;1;0;0
5260294513;0;1;0;0
5638074845;0;1;0;0
7721632538;0;1;0;0
7743012680;0;1;0;0
1415011837;0;1;0;0
3017059914;0;1;0;0
7813298611;0;1;0;0
0274134729;0;1;0;0
4029059004;0;1;0;0
6950139555;0;1;0;0
6321458869;0;1;0;0
2625034021;0;1;0;0
1328199484;0;1;0;0
0533016371;0;1;0;0
7743097820;0;1;0;0
6501221555;0;1;0;0
0323395236;0;1;0;0
5902150388;0;1;0;0
6677009947;0;1;0;0
6116000650;0;1;0;0
3327122838;0;1;0;0
2704022685;0;1;0;0
7430029935;0;1;0;0
5010037231;0;1;0;0
6906008120;0;1;0;0
7743280343;0;1;0;0
7841418470;0;1;0;0
3818027424;0;1;0;0
1001199800;0;1;0;0
7810347170;0;1;0;0
0919005118;1;0;0;0
6017010512;0;1;0;0
1435255983;0;1;0;0
2304061320;0;1;0;0
9701094148;0;1;0;0
0608035695;0;1;0;0
6685000056;0;1;0;0
2462224633;0;1;0;0
4345368988;0;1;0;0
4316000269;0;1;0;0
1833042582;0;1;0;0
3702156082;0;1;0;0
3524013901;0;1;0;0
6133013627;0;1;0;0
6672188393;0;1;0;0
4909123744;0;1;0;0
5321178517;0;1;0;0
2007007062;0;1;0;0
7708312970;0;1;0;0
5921021483;0;1;0;0
9729027737;0;1;0;0
5250038207;0;1;0;0
1001296641;0;1;0;0
3702201987;0;1;0;0
0603020092;0;1;0;0
2536151566;0;1;0;0
0536015182;0;1;0;0
4025450023;0;1;0;0
6623108099;0;1;0;0
2901215975;0;1;0;0
5190038520;0;1;0;0
5405479905;0;1;0;0
0279998257;0;1;0;0
6820034199;0;1;0;0
6101039206;0;1;0;0
3666096460;0;1;0;0
2704025943;0;1;0;0
9721079395;0;1;0;0
6950177568;0;1;0;0
6901058582;0;1;0;0
5190118790;0;1;0;0
7716893439;0;1;0;0
4616009086;0;1;0;0
5505046616;0;1;0;0
7842149830;0;1;0;0
0572002781;0;1;0;0
5903128770;0;1;0;0
0608040430;0;1;0;0
7715145543;0;1;0;0
7707840328;0;1;0;0
5319005588;0;1;0;0
3702000649;0;1;0;0
7839071005;0;1;0;0
5433954944;0;1;0;0
7606079805;0;1;0;0
7731375914;0;1;0;0
9102197419;0;1;0;0
8602286658;0;1;0;0
6679120563;0;1;0;0
5906157313;0;1;0;0
6132011560;1;0;0;0
2221211613;0;1;0;0
1102071450;0;1;0;0
5908076910;0;1;0;0
1435262571;0;1;0;0
2222000936;0;1;0;0
5519504055;0;1;0;0
2636056115;0;1;0;0
7701078343;0;1;0;0
5501190150;0;1;0;0
6671076633;0;1;0;0
1901075483;0;1;0;0
5404148259;0;1;0;0
0323359069;1;0;0;0
0309991050;0;1;0;0
5906110361;0;1;0;0
7449060657;0;1;0;0
8611007928;0;1;1;0
7306006274;0;1;0;0
2302051196;0;1;1;0
7302029070;0;1;0;0
7813535100;0;1;0;0
1326224985;0;1;0;0
1414016039;0;1;0;0
6686027815;0;1;0;0
3525301902;0;1;0;0
5035019964;0;1;0;0
5035019435;0;1;0;0
7802403399;0;1;0;0
5035017237;0;0;1;0
4028029575;0;1;0;0
4824040827;0;1;0;0
4826058636;0;1;0;0
4028028420;0;1;0;0
7723125188;0;1;0;0
7716174280;0;1;0;0
0278120029;0;1;0;0
6501221202;0;1;0;0
3663064685;0;1;0;0
8401001408;0;1;1;0
4212028830;1;0;0;0
6501221386;0;1;0;0
0278119697;0;1;0;0
3436107163;0;1;0;0
4501107753;0;1;0;0
1832028916;0;1;0;0
3328437679;0;0;1;0
6670218966;0;1;0;0
2706027209;0;1;0;0
2502056949;0;1;0;0
4105056689;0;1;0;0
7704415974;0;1;0;0
7901548691;0;1;0;0
7709879987;0;1;0;0
5048012109;0;1;0;0
5957007309;0;1;0;0
0560026467;0;1;0;0
2465064699;0;1;0;0
7902525658;0;1;0;0
5026013571;0;1;0;0
5027142805;0;1;0;0
6225008560;0;1;0;0
0326015595;0;1;0;0
7701904590;0;1;0;0
3811112575;0;1;0;0
2310111970;0;1;0;0
3811112254;0;1;0;0
6367034340;0;0;1;0
2315126385;0;1;0;0
6501266193;0;1;0;0
5321170476;0;1;0;0
0278162413;0;1;0;0
6670428120;0;1;0;0
6313547000;0;1;0;0
5614078400;0;1;0;0
7716843879;0;1;0;0
7751034180;0;1;0;0
7017416384;0;1;0;0
3906346211;0;1;0;0
3662242060;0;1;0;0
2724218069;0;1;0;0
6658495924;0;1;0;0
7724395740;0;1;0;0
5754008836;0;1;0;0
4345282402;0;1;0;0
3019002462;0;1;0;0
6647004701;0;1;0;0
4345282360;0;1;0;0
1203009346;0;1;0;0
4425001287;0;1;0;0
6661079459;0;1;0;0
7804476152;0;1;0;0
6661074764;0;1;0;0
5404397738;0;1;0;0
7008007360;0;1;0;0
7003004207;0;1;0;0
7012005831;0;1;0;0
7728622232;0;1;0;0
7003005401;0;1;0;0
7002013431;0;1;0;0
3823031899;0;1;0;0
7840439131;0;1;0;0
6164299895;0;1;0;0
4501172368;0;1;0;0
3525351780;0;1;0;0
5503137184;0;1;0;0
7703387435;0;1;0;0
6167130142;0;1;0;0
6727026316;0;1;0;0
5259081302;0;1;0;0
1658090774;0;1;0;0
7536111121;0;1;0;0
1001162408;0;1;0;0
7536111481;0;1;0;0
4703020150;0;1;0;0
7536111668;0;1;0;0
1001162743;0;1;0;0
7806462564;0;1;0;0
1001162630;0;1;0;0
7805462434;0;1;0;0
5036103369;0;1;0;0
6163086365;0;1;1;0
5535008216;0;1;0;0
5047084799;0;1;0;0
5407247385;0;1;0;0
7810427724;0;1;0;0
7743141075;0;1;1;0
6612049003;0;1;0;0
1328012305;0;1;0;0
3525369315;0;1;0;0
6452935441;0;1;0;0
0408017882;0;1;0;0
6452935723;0;1;0;0
5823007145;1;0;0;0
7448125943;0;1;0;0
5616010157;0;1;0;0
7840482426;0;1;0;0
7107540682;0;1;0;0
0276145236;0;1;1;0
2537021947;0;1;0;0
2922007888;0;1;0;0
5014100452;0;1;1;0
7017296292;0;1;0;0
3632000360;0;1;0;0
4824006015;0;1;0;0
2907016447;0;1;0;0
4706036704;0;1;0;0
7203338983;0;1;0;0
3435118490;0;1;0;0
7325135525;0;1;0;0
4205306090;0;1;0;0
5042136059;0;1;0;0
7415089866;0;1;0;0
5221002661;0;1;0;0
3704008210;0;1;0;0
0411142499;0;1;0;0
0411142516;0;1;1;0
5610139789;0;1;0;0
1650126203;0;0;1;0
6501267567;0;1;0;0
7704875153;0;1;0;0
6501267542;0;1;0;0
7751524681;0;1;0;0
2723174965;0;1;1;0
6952043087;0;1;0;0
7713734832;0;1;0;0
7536099812;0;1;1;0
4501174140;0;1;0;0
7715884914;0;1;0;0
7802206866;0;1;0;0
3916500582;0;1;0;0
4826030398;0;1;0;0
1502024744;0;1;0;0
1502044701;0;1;0;0
7714588359;0;1;0;0
4702006160;0;1;0;0
1659095567;0;1;0;0
1831101264;0;1;0;0
1659095609;0;1;0;0
2703068447;0;1;1;0
2703066961;0;1;0;0
0278197430;0;1;0;0
7838486656;0;1;0;0
5263097880;0;1;0;0
2703067588;0;1;0;0
7723745417;0;1;0;0
4345180440;0;1;0;0
5837013808;0;1;0;0
5606020251;0;1;0;0
5836601116;0;1;0;0
0262031447;0;1;0;0
3666231292;0;1;0;0
3702207347;0;1;0;0
5003130649;0;1;0;0
7814743671;0;1;0;0
5257184599;0;1;0;0
