inn,in_ban,staff100,staff1000,terminated_contracts2,reg_date1Y,bidding_num50
123456789012,0,1,1,0,0,1
123456789013,0,1,1,0,0,0
123456789014,0,1,1,0,0,1
123456789015,0,1,1,0,0,0
123456789016,0,1,0,0,1,1
123456789017,0,1,1,1,0,0
123456789018,0,1,1,0,0,1
123456789019,0,1,0,0,0,0
123456789020,0,1,1,0,0,1
123456789021,0,1,1,0,1,0
123456789021,0,1,1,0,1,0
123456789022,0,0,0,0,0,0
123456789023,0,1,0,0,0,1
123456789024,0,1,0,0,0,0
123456789025,0,1,0,0,0,1
123456789026,0,1,1,0,0,0
123456789027,0,1,0,0,0,1
123456789028,0,1,1,1,0,1
123456789029,0,1,1,0,0,0
123456789030,0,1,1,0,0,1
123456789031,0,1,1,0,1,0
123456789032,0,1,0,0,0,0
123456789033,0,1,0,0,0,0
123456789034,0,0,0,0,0,1
123456789035,0,1,1,0,0,1
123456789036,0,1,1,0,0,0
123456789037,0,0,0,0,1,1
123456789038,0,1,1,1,0,0
123456789039,0,1,1,0,0,1
123456789040,0,1,0,0,0,1
123456789041,0,1,0,0,1,1
123456789042,0,1,0,0,0,1
123456789043,0,0,0,0,0,0
123456789044,0,1,0,0,0,1
123456789045,1,1,1,0,0,0
123456789046,0,1,1,0,1,1
123456789047,0,1,0,0,0,0
123456789048,0,0,0,0,0,1
123456789049,0,1,0,0,0,1
123456789050,0,0,0,0,0,0
123456789051,0,1,0,0,0,1
123456789052,0,1,1,0,0,1
123456789053,0,1,0,0,0,1
123456789054,0,1,1,0,0,0
123456789055,0,1,1,0,0,1
123456789056,0,1,1,0,0,1
123456789057,0,1,0,0,0,0
123456789058,0,1,1,0,0,1
123456789059,0,1,0,0,0,0
123456789060,0,1,1,0,0,1
123456789061,0,1,0,1,0,1
123456789062,0,1,1,0,0,1
123456789063,0,1,1,1,0,0
123456789064,0,1,0,0,1,0
123456789065,0,1,0,0,1,1
123456789066,0,1,0,0,0,1
123456789067,0,1,0,0,0,1
123456789068,0,1,1,0,0,0
123456789069,0,1,1,0,0,1
123456789070,0,1,1,0,1,0
123456789071,0,1,0,0,1,1
123456789072,0,1,0,0,0,1
123456789073,0,1,0,0,0,0
123456789074,0,1,0,0,1,1
123456789075,0,1,0,0,1,0
123456789076,0,1,1,1,0,0
123456789077,0,1,0,0,0,0
123456789078,0,1,1,0,1,0
123456789079,0,1,1,0,0,1
123456789080,0,0,0,0,1,1
123456789080,0,0,0,0,1,1
123456789081,0,1,1,1,0,0
123456789082,0,0,0,0,0,1
123456789083,0,1,1,0,0,0
123456789084,0,1,1,0,1,0
123456789085,0,1,1,0,1,0
123456789086,0,1,1,0,0,0
123456789087,0,1,1,0,0,1
123456789088,0,1,1,0,0,1
123456789089,0,1,1,0,0,1
123456789090,0,1,1,0,1,1
123456789091,0,1,1,0,0,1
123456789092,0,1,1,0,0,1
123456789093,0,1,1,0,0,0
123456789094,0,1,0,1,1,1
123456789095,0,1,0,0,0,0
123456789096,0,1,0,0,1,0
123456789097,0,1,0,0,0,0
123456789098,0,1,0,0,0,0
123456789099,0,1,0,0,0,0
123456789100,0,1,0,0,0,0
123456789101,0,1,0,0,1,0
123456789102,0,1,1,0,0,0
123456789103,0,1,1,1,0,0
123456789104,0,1,0,0,0,0
123456789104,0,1,0,0,0,0
123456789105,0,1,1,0,0,1
123456789106,0,0,0,0,1,1
123456789107,0,1,0,0,0,1
123456789108,0,1,0,0,0,0
123456789109,0,1,1,0,1,0
123456789110,0,1,0,0,1,1
123456789111,0,1,0,0,1,0
123456789112,0,1,1,0,0,1
123456789113,0,1,0,0,0,1
123456789114,1,1,0,0,0,1
123456789115,0,1,1,0,0,0
123456789116,0,1,1,0,0,1
123456789117,1,1,1,0,0,0
123456789118,0,1,1,0,0,1
123456789119,0,1,1,0,0,0
123456789120,0,1,0,0,0,0
123456789121,0,1,1,0,1,1
123456789122,0,1,0,0,0,0
123456789123,0,1,0,0,0,1
123456789124,0,1,0,0,0,0
123456789125,0,1,1,0,0,0
123456789126,0,0,0,0,0,1
123456789127,0,1,1,0,0,0
123456789128,0,1,0,1,0,1
123456789129,0,1,1,0,0,0
123456789130,0,1,1,0,0,1
123456789131,0,1,0,0,0,0
123456789132,0,1,0,0,0,0
123456789133,0,0,0,0,0,1
123456789134,0,1,1,0,0,0
123456789135,0,1,0,0,1,0
123456789136,0,1,0,0,1,1
123456789137,0,1,1,0,0,1
123456789138,0,1,0,0,0,1
123456789139,0,1,0,0,1,0
123456789140,0,1,1,0,1,1
123456789140,0,1,1,0,1,1
123456789141,0,0,0,0,0,0
123456789142,0,1,1,0,0,0
123456789143,0,1,1,0,0,1
123456789144,0,1,0,0,0,1
123456789145,0,1,0,0,0,0
123456789146,0,1,0,0,0,1
123456789147,0,1,0,0,0,0
123456789148,0,1,1,0,0,0
123456789148,0,1,1,0,0,0
123456789149,0,1,1,0,0,0
123456789150,0,1,1,0,0,1
123456789151,0,1,0,0,0,0
123456789152,0,1,0,0,0,1
123456789153,0,0,0,0,0,1
