inn,name,activity,city,create_date,reg_date,last_tender_date,contract_value,staff,ban,bidding_num,wins_num,not_executed_contracts,terminated_contracts,likelihood_of_problems,geo_lat,geo_lon
123456789012,ЗАО Арт-Пикник,Поставка рогов,Апшеронск,2001-12-10 07:59:29,2011-10-04 08:23:48,2020-11-03 02:39:23,7487255,1884,0,80,70,0,0,0.698080519323731,44.4584006,39.7299824
123456789013,ООО Абракадабра,Поставка копыт,Сургут,2018-09-27 13:47:37,2021-12-22 15:08:44,2022-08-09 00:22:03,6172898,1723,0,14,13,0,0,0.2924034737195753,61.2541083,73.3961587
123456789014,ООО Чизз,Поставка копыт,Тотьма,2004-02-06 17:51:06,2004-06-24 09:27:46,2010-08-16 16:16:26,9847351,1466,0,78,60,0,0,0.8708204842799684,59.9734998,42.7589506
123456789015,НКО Гуляй душа,Стрижка терьеров,Луза,2008-07-02 08:17:18,2010-06-03 15:21:28,2017-04-01 22:25:19,1349782,1766,0,2,0,0,0,0.39470036585241364,60.6290609,47.2612445
123456789016,ОАО Морозко,Поставка рогов,Тулун,2022-06-06 20:38:13,2023-01-16 06:46:30,2023-01-22 17:19:56,8005055,149,0,60,33,0,0,0.228246111697595,54.557162,100.5780603
123456789017,ЗАО Фестиваль,Стрижка терьеров,Ростов-на-Дону,2014-10-13 14:10:25,2019-07-15 06:30:16,2022-09-28 14:29:23,2882635,1691,0,11,9,0,5,0.03340076127182001,47.2224566,39.718803
123456789018,НКО Шумгам,Стрижка терьеров,Сертолово,2018-06-03 05:04:56,2021-09-25 08:13:57,2022-05-06 08:35:26,5069497,1985,0,60,28,0,0,0.7946142979288812,60.1446932,30.2095918
123456789019,ООО Здоровячок,Поставка рогов,Усмань,2009-03-08 23:30:43,2022-01-25 02:46:43,2023-01-10 16:15:43,4920266,1000,0,23,1,0,0,0.6456790101674794,52.0442648,39.726401
123456789020,ЗАО Старый парк,Поставка копыт,Орёл,2009-03-01 08:47:18,2020-03-21 22:27:45,2022-09-23 02:01:07,3940848,1781,0,59,51,0,0,0.7663014853580943,52.9671298,36.0696427
123456789021,ООО Лесовичок,Поставка рогов,Радужный,2023-02-13 15:45:06,2023-02-13 19:53:25,2023-03-02 14:09:54,5180043,1193,0,4,3,0,0,0.9437188291131988,62.1342888,77.4584094
123456789021,ООО Лесовичок,Поставка рогов,Радужный,2023-02-13 15:45:06,2023-02-13 19:53:25,2023-03-02 14:09:54,5180043,1193,0,4,3,0,0,0.9437188291131988,55.9960277,40.3321855
123456789022,ОАО Рябинушка,Поставка рогов,Находка,2012-03-07 08:04:58,2021-06-29 17:44:49,2021-12-11 16:46:38,3613306,43,0,24,5,0,0,0.1768043180585971,42.8239372,132.8927361
123456789023,ОАО Праздник каждый день,Поставка рогов,Макарьев,1999-07-22 10:23:47,2009-05-11 04:31:18,2022-01-09 06:36:51,1888306,698,0,53,29,0,0,0.030251401687009127,57.8807152,43.8014197
123456789024,КФХ Ассорти,Стрижка терьеров,Харовск,1997-10-08 08:25:52,2007-07-26 15:16:47,2010-03-26 15:02:00,5583430,948,0,10,8,0,0,0.3845256813091793,59.9479423,40.2000298
123456789025,ОАО Эврика,Поставка копыт,Верхний Уфалей,2018-09-23 03:27:09,2021-11-20 13:40:54,2022-09-18 22:07:01,5052704,852,0,76,39,0,0,0.706789771982094,56.0487158,60.2318886
123456789026,КФХ Лунный свет,Стрижка терьеров,Тобольск,1998-06-06 11:49:26,2007-05-16 09:04:04,2015-03-08 05:45:35,6089676,1899,0,25,23,0,0,0.9697732140622256,58.2017299,68.2538558
123456789027,КФХ Ягодки,Поставка рогов,Козельск,2000-03-10 07:43:29,2008-11-26 15:09:47,2009-05-04 13:43:43,6974540,716,0,97,86,0,0,0.7841274232837727,54.0347201,35.780768
123456789028,ОАО Веселый шарик,Поставка копыт,Алдан,1998-10-10 13:58:49,2021-04-30 07:09:09,2022-10-13 16:37:35,2324185,1651,0,84,72,0,5,0.7641049231120683,58.6094283,125.3817188
123456789029,ООО Карамель,Стрижка терьеров,Жирновск,2008-07-24 06:04:10,2016-05-01 12:14:42,2018-06-16 21:54:55,4257108,1186,0,24,23,0,0,0.2580112190191227,50.9768814,44.7858202
123456789030,НКО Семь чудес,Стрижка терьеров,Переславль-Залесский,2006-06-06 11:02:18,2010-11-21 17:37:13,2010-12-06 02:47:12,2982709,1774,0,98,55,0,2,0.7272145421997451,56.7360544,38.8543617
123456789031,НКО Каррамба,Стрижка терьеров,Тимашевск,2023-03-26 17:20:00,2023-03-30 05:25:30,2023-03-31 08:05:38,9077859,1039,0,43,24,0,0,0.5183051937680094,45.615923,38.9351837
123456789032,КФХ Желтый карандаш,Поставка копыт,Алагир,1997-06-01 16:41:14,2002-08-27 18:08:48,2002-09-22 06:03:13,5755410,694,0,33,17,0,0,0.8736321788097311,43.0417684,44.2199715
123456789033,КФХ Капитошка,Поставка копыт,Искитим,2012-01-19 08:34:19,2020-02-09 15:44:03,2020-06-19 14:48:53,7291277,792,0,4,3,2,0,0.02526239957752241,54.6267603,83.2951244
123456789034,НКО Волшебство,Поставка рогов,Сурск,2006-11-24 02:03:08,2012-01-26 23:33:53,2019-03-04 12:06:24,3331084,88,0,106,26,0,0,0.4997500098244174,53.0761357,45.6910796
123456789035,НКО Бонус Клуб,Поставка рогов,Железноводск,2010-02-09 04:17:43,2016-10-07 08:37:54,2020-10-15 05:47:24,1996881,1909,0,98,19,0,0,0.2247475986457872,44.1320568,43.0306461
