name,inn,city,create_date,reg_date,last_tender_date,contract_value,staff,ban,bidding_num,wins_num,not_executed_contracts,terminated_contracts
ООО Сказочная страна,123456789012,Урюпинск,2002-01-06,2013-03-13,2015-09-05,1119758,1160,False,20,11,0,0
ОАО Карнавал,123456789013,Урюпинск,2012-08-25,2022-07-26,2023-03-22,3089737,1093,False,54,24,5,0
ООО Марго,123456789014,Нижние Серги,1998-12-15,2010-03-11,2020-06-16,8421696,1,False,18,14,0,0
ООО Праздник,123456789015,Новая Ляля,2022-06-14,2022-09-05,2023-01-02,8771911,1629,False,48,39,5,0
ООО Веду круто,123456789016,Колпино,2009-12-11,2017-05-11,2019-02-04,1082070,1500,False,39,9,0,0
КФХ Пикаду,123456789017,Колпино,2000-08-08,2019-09-09,2021-05-18,9093792,315,False,68,67,0,1
ЗАО Аэлита,123456789018,Пыталово,2012-05-13,2019-07-30,2020-03-13,6680774,959,False,58,50,0,0
ЗАО Невская феерия,123456789019,Урюпинск,1999-08-01,2006-05-23,2019-01-06,7418341,67,False,83,15,0,0
ОАО Фишка,123456789020,Нижние Серги,2022-02-24,2022-10-15,2022-11-20,3552661,283,False,12,9,0,0
ЗАО Гильдия волшебников,123456789021,Мамыри,2017-02-25,2019-08-14,2020-09-14,4873605,460,False,56,29,0,0
ОАО Ярик,123456789022,Нижние Серги,2007-05-14,2020-12-21,2022-12-15,1842012,699,False,59,58,0,0
ЗАО Новые эмоции,123456789023,Урюпинск,1999-11-25,2006-01-13,2017-07-11,8630586,1763,False,58,33,0,0
ОАО Яркий мир,123456789024,Новая Ляля,2021-12-01,2022-06-02,2022-09-27,2066884,1825,False,59,29,0,0
ООО Корпорация малышей,123456789025,Колпино,2019-07-31,2022-11-15,2023-01-03,7539935,1826,True,17,3,0,0
ООО Корпорация монстров,123456789026,Мамыри,2020-10-14,2022-04-14,2022-07-05,8288594,506,False,32,25,0,0
ЗАО Ириска,123456789027,Мымрино,2005-08-13,2009-02-27,2010-09-29,2011621,659,False,40,17,0,0
ОАО Монпансье,123456789028,Урюпинск,2010-07-13,2016-04-10,2016-04-26,9059500,1416,False,53,50,0,0
ОАО Гранд-Праздник,123456789029,Новая Ляля,2010-01-18,2015-02-04,2022-12-31,3724851,302,False,98,34,0,0
КФХ Тамада,123456789030,Козельск,2007-08-22,2022-01-21,2022-03-01,2773723,1644,False,75,49,0,0
НКО Звездочка,123456789031,Барнаул,2020-01-06,2020-10-17,2022-03-31,1790854,1209,False,2,1,0,5
ЗАО Мон Эвент,123456789032,Козельск,2002-10-22,2013-04-30,2015-07-08,1497871,1023,False,77,36,0,2
ООО Седьмое небо,123456789033,Барнаул,1997-08-28,2022-07-04,2022-09-20,2147355,1355,False,41,9,0,0
НКО Веселый жираф,123456789034,Козельск,2014-04-23,2020-11-29,2022-05-09,8563758,204,False,76,53,0,0
